alignment	dist	ecfp4	daylight		mces
O=[N+]([O-])c1cc(F)ccc1-c2ccc(\C=N\Nc3nc4ccccc4[nH]3)o2 ZINC000409038223	9	0.3548387096774194	0.43729903536977494		29
O=C(O)Cc1csc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])s2)n1 ZINC001777652006	9	0.29591836734693877	0.2849162011173184		28
O=C(O)c1cc(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])s2)ccc1F ZINC001776061540	9	0.24752475247524752	0.2844574780058651		28
Cc1ccc(-c2ccc(C=NNc3nc4ccccc4[nH]3)o2)c([N+](=O)[O-])c1 ZINC000254631742	9	0.3548387096774194	0.4426229508196721		29
Cc1ccc(-c2ccc(\C=N\Nc3nc4ccccc4[nH]3)o2)c([N+](=O)[O-])c1 ZINC000005401907	9	0.3548387096774194	0.4426229508196721		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNc3nc4ccccn4n3)o2 ZINC001321828932	9	0.43956043956043955	0.45645645645645644		29
NC(=O)Cc1ccc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)cc1 ZINC001327572957	9	0.4157303370786517	0.44673539518900346		29
O=C(CN1CCCC1=O)NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2 ZINC001317703710	9	0.4666666666666667	0.5187713310580204		28
Cc1c(NCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)cnn1CC(=O)O ZINC001607549082	9	0.4673913043478261	0.4094955489614243		28
NC(=O)C[C@@H]1CCN(Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)C1 ZINC001117601034	9	0.40217391304347827	0.4843205574912892		27
NC(=O)C[C@H]1CCN(Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)C1 ZINC001117601033	9	0.40217391304347827	0.4843205574912892		27
C[C@@H]1CN(Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)C[C@H]1CC(=O)O ZINC000902556581	9	0.3695652173913043	0.4634146341463415		27
COc1ccc(-c2ccc(C=NNc3ccc(Cl)c(C(=O)O)c3)o2)c([N+](=O)[O-])c1 ZINC000916260199	9	0.4	0.4585987261146497		29
