PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES_1460,Fit_CurveClass_1460,Max_Response_1460,Potency_1460
135419980,CC1=CC=C(C=C1)N2C(=O)C(=C(N2)C)/C=N/NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],-1.1,-98.1533,1.5849
26964,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O.Cl,-1.1,-98.1311,3.1623
1736341,CC1=CC=C(C=C1)C(=O)C2=COC3=C2C(=O)C(=O)C4=CC=CC=C43,-1.1,-98.1138,2.2387
3115093,C1=CC=C(C=C1)C2=NC(=NN2)N=NC3=CC=C(C=C3)O,-1.1,-98.0767,2.5119
15945766,CNCC1=CC=CC=C1SC2=CC(=C(C=C2)O)O.C(=C\C(=O)[O-])\C(=O)[O-],-1.1,-98.0606,3.9811
2320670,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NS(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],-1.1,-98.0272,1.9953
804043,CCOC1=CC=C(C=C1)NC(=S)NC2=CC3=NSN=C3C=C2,-1.1,-98.0046,2.5119
9599309,CN(C)C1=CC=C(C=C1)/C=C(\C(=O)N/N=C/C2=CC(=C(C=C2)[N+](=O)[O-])O)/NC(=O)C3=CC=CC=C3,-1.1,-97.9973,3.9811
741762,CCN(CC)C1=CC=C(C=C1)/C=C/2\C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,-1.1,-97.9957,1.9953
375895,COC1=C2C(=C(C=C1)OC)C(=O)C(=C(C2=O)Cl)Cl,-1.1,-97.9936,4.4668
3505890,CC(=O)OC1=CC(=CC(=C1OC(=O)C)OC(=O)C)C2=COC3=CC(=C(C(=C3C2=O)OC(=O)C)OC(=O)C)OC(=O)C,-1.1,-97.9421,3.5481
992591,CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,-1.1,-97.9259,3.5481
135676063,C1=CC=C2C(=C1)C(=O)N(C2=O)/N=C/C3=C(C(=C(C=C3)O)O)O,-1.1,-97.9095,3.9811
54713170,CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/C3=[N+](C4=C(C=C3)C=C(C=C4)N(C)C)C.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)[O-])O)C(=O)O,-1.1,-97.8954,3.1623
2767,[NH2-].[NH2-].Cl[Pt+2]Cl,-1.1,-97.8821,2.8184
135541149,C1=CC(=CN=C1)NC(=S)N/N=C/C2=C(C(=C(C=C2)O)O)O,-1.1,-97.7603,1.5849
135401391,CCOC1=CC=C(C=C1)N=NC2=C3NC4=C(CCCC4)C(=O)N3NC2=O,-1.1,-97.7083,1.7783
5367004,CC\1=NN(C(=O)/C1=C\C=C\2/C(C3=CC=CC=C3N2C)(C)C)C4=CC=CC=C4,-1.1,-97.5718,1.5849
5291987,COC1=CC(=CC(=C1O)[N+](=O)[O-])/C=C(\C#N)/C2=NC3=CC=CC=C3S2,-1.1,-97.5637,1.4125
323616,CCC(=O)NC1=C(C(=O)C(=C(C1=O)Cl)NC(=O)CC)Cl,-1.1,-97.4691,1.9953
135433322,CC1=CC2=C(C=C1)N=C(N2)/C(=C/C3=CC(=C(C(=C3)OC)O)[N+](=O)[O-])/C#N,-1.1,-97.4134,1.9953
151689,C1CCC(C(C1)N)N.Cl[Pt]Cl,-1.1,-97.3817,3.1623
6604161,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=C(C=C6)S(=O)(=O)[O-])Cl)S(=O)(=O)[O-])S(=O)(=O)[O-])N.[Na+].[Na+].[Na+],-1.1,-97.3615,3.9811
135477972,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)/C=N/NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])C,-1.1,-97.3099,2.2387
135536164,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)C(=O)C(=C3)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,-1.1,-97.2844,0.8913
248466,COC1=C(C2=CC=CC=C2C(=C1)N=NC3=CC(=CC=C3)S(=O)(=O)N)N,-1.1,-97.1972,1.5849
992588,CCC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,-1.1,-97.1296,3.1623
448949,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O,-1.1,-97.11,2.2387
4939,CC[N+](C)(CC)CCC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N,-1.1,-97.1028,1.2589
16195322,CC[N+]1=C(C=CC2=C1C=CC(=C2)C)/C=C/C3=CNC4=CC=CC=C43.[I-],-1.1,-97.0716,1.9953
1371498,CCOC1=CC=C(C=C1)/C=C/2\C(=S)NC(=O)S2,-1.1,-97.0451,3.1623
2313555,CN(C)C1=CC=C(C=C1)/C=C/2\CCC/C(=C\C3=CC=CC=C3)/C2=O,-1.1,-97.045,1.9953
443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,-1.1,-97.0202,3.1623
5098884,COC(=O)C1=CC(=O)C(=C2C(=C1)C=CC(=C2O)O)O,-1.1,-96.9276,3.5481
4072379,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NNC(=O)C4=C(C=C(C=C4)O)O,-1.1,-96.808,2.2387
1742967,C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(O3)C4=C(C=CC(=C4)[N+](=O)[O-])O)/C(=O)N2,-1.1,-96.7507,3.5481
97205,C1=CC=C(C(=C1)N=NC2=C(N=C(C=C2)N)N)Cl,-1.1,-96.7027,1.9953
262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,-1.1,-96.5363,1.122
6710718,COC1=CC(=O)C(=CC1=O)C(=O)C2=CC=CC=C2,-1.1,-96.4905,3.1623
237338,CC1=C(N=C(N1)N=NC2=CC=CC=C2)N=NC3=CC=CC=C3,-1.1,-96.4794,3.5481
135469806,C1=CC=C2C(=C1)/C(=C/C3=C(NC(=O)S3)S)/C=N2,-1.1,-96.4658,1.4125
6402994,CC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC(=C(N=N2)C3=CC=CO3)C4=CC=CO4,-1.1,-96.4616,3.9811
2012947,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(O3)/C=C\4/C(=O)N(C(=S)S4)CCCC(=O)O,-1.1,-96.4584,1.5849
3624,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N,-1.1,-96.4584,3.9811
3004085,COC1=C2C(=C(C=C1)OC)NC3=CC=CC=C3C2=S,-1.1,-96.4566,3.9811
4309779,CC1=C(SC(=N1)N)N=NC2=CC=C(C=C2)Br,-1.1,-96.4559,3.9811
6372735,CC\1=NN(C(=O)/C1=C/C=C/C2=CC=C(C=C2)N(C)C)C3=CC=CC=C3,-1.1,-96.3536,1.9953
281376,C1=CC(=CC=C1N=NC2=CNC(=O)C(=C2)O)S(=O)(=O)N,-1.1,-96.3181,2.5119
23205,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)O)C(=C)C(=O)O2,-1.1,-96.2937,3.5481
6099,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],-1.1,-96.2728,1.2589
979664,CCOC1=C(C(=CC(=C1)CNC2=CC=C(C=C2)N3CCCC3)Cl)OC,-1.1,-96.2483,3.5481
